Port_ID,ROI,PnL,Sharpe_Ratio,Max_Drawdown,Win_Rate,Win_Positions,Total_Positions,Score
4020204877254599680,0.311560819422595,71998.85595307,1.824566742605602,21338.051187779958,32.94214876033058,1993.0,6050.0,11204.463216355405
3999240873283311617,0.543673453021995,42574.473678790004,5.782965509484778,300.81384848999915,52.32198142414861,2366.0,4522.0,8478.940650835928
4021669203289716224,0.4044195741684947,26427.33159178,1.7467571609688082,2537.8666286099924,31.391200951248514,528.0,1682.0,4909.965681511633
3960874214179953664,0.23329625287420802,19567.47128569,4.30926597641801,2233.99999999,51.568381430363864,1233.0,2391.0,3587.0613564252003
4028701921959171840,0.40648048877447035,17601.40139824,2.6306047648998856,585.6775999300007,54.29403202328966,373.0,687.0,3441.2208095616056
3907081197088384000,1.0992418198530547,18015.997370259996,3.5275099828610994,2060.707122380003,61.39714769156394,2540.0,4137.0,3304.338252391262
3986814617275053313,0.871628342633023,16337.46188064,5.677376938926969,2.3819474699994316,78.22172200337648,2780.0,3554.0,3280.2653061985816
3956076827719377409,1.0322298310165385,16790.01223802,1.5326630771190308,635.0500145299998,51.55771195097037,2019.0,3916.0,3271.0948037818744
4022565861939831809,0.23307950047083875,14197.577075890002,5.691188121476915,385.0755536900001,52.76595744680851,372.0,705.0,2790.8771372159586
3788465932399412480,0.8368063722229275,13960.966456670001,1.8552687829573562,1772.2194397900003,44.607363962202676,1369.0,3069.0,2533.673575628089
4008711265867865600,0.3082403414586579,11298.706389769999,6.81548663883399,509.5499999999993,42.13197969543147,166.0,394.0,2191.0841443385193
3936410995029308417,1.7910538387345118,10681.514000000001,6.452446148945226,0.0,30.0,6.0,20.0,2142.6306053814096
3987739404272887297,0.5570133876861023,12464.6063154,2.7447071704799475,3386.656093979994,22.826446280991735,1381.0,6050.0,1989.0628613755518
3939318616482048768,1.0162799258193589,9775.389109840002,7.943893144227443,87.00335997999991,37.46031746031746,118.0,315.0,1949.5400281966392
3998572645139652353,0.46803137819487584,9603.58535988,5.585921677164593,214.71515507000004,35.714285714285715,95.0,266.0,1895.1245353215345
3931992636670880512,0.5710796250365378,10374.96528998,1.5207868257521802,1651.1316999599999,40.16528925619834,2430.0,6050.0,1833.823577643091
3962024093501274881,0.1459067814121948,9314.494060179999,1.8035508255191068,1828.4947021299995,26.472898664571876,337.0,1273.0,1593.0000237157135
3944088772635000577,0.7088427632933676,7581.491983399999,6.622859585077239,97.2037250300009,45.75292759360053,2774.0,6063.0,1510.1180018105433
3886752488982104320,0.8994404782536423,7195.178324640001,7.37283113627685,38.20810000000006,74.5396317053643,931.0,1249.0,1446.2297930545362
3925368433214965504,0.3753030637163513,6789.436738630001,4.848693962087627,162.05753631999778,33.33333333333333,486.0,1458.0,1339.6610469895331
